Section|Title|Content
[Section 2-609| Right to Adequate Assurance of Performance|(1) Acontract for saleimposes an obligation on each party that the other's expectation of receiving due performance will not be impaired. When reasonable grounds for insecurity arise with respect to the performance of either party the other may in writing demand adequate assurance of due performance and until he receives such assurance may if commercially reasonable suspend any performance for which he has not already received the agreed return.(2)Between merchantsthe reasonableness of grounds for insecurity and the adequacy of any assurance offered shall be determined according to commercial standards.(3)Acceptance of any improper delivery or payment does not prejudice the aggrieved party's right to demand adequate assurance of future performance.(4) Afterreceiptof a justified demand failure to provide within a reasonable time not exceeding thirty days such assurance of due performance as is adequate under the circumstances of the particular case is a repudiation of thecontract.Section 2-608. Revocation of Acceptance in Whole or in Part.UpSection 2-610. Anticipatory Repudiation.]
[Section 2-610| Anticipatory Repudiation|When either party repudiates thecontractwith respect to a performance not yet due the loss of which will substantially impair the value of the contract to the other, the aggrieved party may(a) for a commercially reasonable time await performance by the repudiating party; or(b) resort to any remedy for breach (Section2-703or Section2-711), even though he has notified the repudiating party that he would await the latter's performance and has urged retraction; and(c) in either case suspend his own performance or proceed in accordance with the provisions of this Article on theseller'sright to identifygoodsto thecontractnotwithstanding breach or to salvage unfinished goods (Section2-704).Section 2-609. Right to Adequate Assurance of Performance.UpSection 2-611. Retraction of Anticipatory Repudiation.]
[Section 2-611| Retraction of Anticipatory Repudiation|(1)Until the repudiating party\'s next performance is due he can retract his repudiation unless the aggrieved party has since the repudiation cancelled or materially changed his position or otherwise indicated that he considers the repudiation final.(2) Retraction may be by any method which clearly indicates to the aggrieved party that the repudiating party intends to perform, but must include any assurance justifiably demanded under the provisions of this Article (Section2-609).(3) Retraction reinstates the repudiating party\'s rights under thecontractwith due excuse and allowance to the aggrieved party for any delay occasioned by the repudiation.Section 2-610. Anticipatory Repudiation.UpSection 2-612. "Installment contract"; Breach.]
[Section 2-612| "Installment contract"; Breach|(1) An "installment contract" is one which requires or authorizes the delivery ofgoodsin separatelotsto be separately accepted, even though thecontractcontains a clause "each delivery is a separate contract" or its equivalent.(2) Thebuyermay reject any installment which is non-conforming if the non-conformity substantially impairs the value of that installment and cannot be cured or if the non-conformity is a defect in the required documents; but if the non-conformity does not fall within subsection (3) and thesellergives adequate assurance of its cure the buyer must accept that installment.(3) Whenever non-conformity or default with respect to one or more installments substantially impairs the value of the wholecontractthere is a breach of the whole. But the aggrieved party reinstates the contract if he accepts a non-conforming installment without seasonably notifying ofcancellationor if he brings an action with respect only to past installments or demands performance as to future installments.Section 2-611. Retraction of Anticipatory Repudiation.UpSection 2-613. Casualty to Identified Goods.]
[Section 2-613| Casualty to Identified Goods|Where thecontractrequires for its performancegoodsidentified when the contract is made, and the goods suffer casualty without fault of either party before the risk of loss passes to thebuyer, or in a proper case under a "no arrival, nosale" term (Section2-324) then(a) if the loss is total thecontractis avoided; and(b) if the loss is partial or thegoodshave so deteriorated as no longer to conform to thecontractthebuyermay nevertheless demand inspection and at his option either treat the contract as avoided or accept the goods with due allowance from the contract price for the deterioration or the deficiency in quantity but without further right against theseller.Section 2-612. "Installment contract"; Breach.UpSection 2-614. Substituted Performance.]
[Section 2-614| Substituted Performance|(1)Where without fault of either party the agreed berthing, loading, or unloading facilities fail or an agreed type of carrier becomes unavailable or the agreed manner of delivery otherwise becomes commercially impracticable but a commercially reasonable substitute is available, such substitute performance must be tendered and accepted.(2) If the agreed means or manner of payment fails because of domestic or foreign governmental regulation, thesellermay withhold or stop delivery unless thebuyerprovides a means or manner of payment which is commercially a substantial equivalent. If delivery has already been taken, payment by the means or in the manner provided by the regulation discharges the buyer's obligation unless the regulation is discriminatory, oppressive or predatory.Section 2-613. Casualty to Identified Goods.UpSection 2-615. Excuse by Failure of Presupposed Conditions.]
[Section 2-615| Excuse by Failure of Presupposed Conditions|Except so far as asellermay have assumed a greater obligation and subject to the preceding section on substituted performance:(a) Delay in delivery or non-delivery in whole or in part by asellerwho complies with paragraphs (b) and (c) is not a breach of his duty under acontract for saleif performance as agreed has been made impracticable by the occurrence of a contingency the non-occurrence of which was a basic assumption on which thecontractwas made or by compliance ingood faithwith any applicable foreign or domestic governmental regulation or order whether or not it later proves to be invalid.(b) Where the causes mentioned in paragraph (a) affect only a part of theseller'scapacity to perform, he must allocate production and deliveries among his customers but may at his option include regular customers not then undercontractas well as his own requirements for further manufacture. He may so allocate in any manner which is fair and reasonable.(c) Thesellermust notify thebuyerseasonably that there will be delay or non-delivery and, when allocation is required under paragraph (b), of the estimated quota thus made available for the buyer.Section 2-614. Substituted Performance.UpSection 2-616. Procedure on Notice Claiming Excuse.]
[Section 2-616| Procedure on Notice Claiming Excuse|(1) Where thebuyerreceives notification of a material or indefinite delay or an allocation justified under the preceding section he may by written notification to theselleras to any delivery concerned, and where the prospective deficiency substantially impairs the value of the wholecontractunder the provisions of this Article relating to breach of installment contracts (Section2-612), then also as to the whole,(a) terminate and thereby discharge any unexecuted portion of thecontract; or(b) modify thecontractby agreeing to take his available quota in substitution.(2) If afterreceiptof such notification from thesellerthebuyerfails so to modify thecontractwithin a reasonable time not exceeding thirty days the contract lapses with respect to any deliveries affected.(3) The provisions of this section may not be negated byagreementexcept in so far as thesellerhas assumed a greater obligation under the preceding section.sSection 2-615. Excuse by Failure of Presupposed Conditions.UpPART 7. REMEDIES]
[Section 2-701| Remedies for Breach of Collateral contracts Not Impaired|Remedies for breach of any obligation or promise collateral or ancillary to acontract for saleare not impaired by the provisions of this Article.PART 7. REMEDIESUpSection 2-702. Seller's Remedies on Discovery of Buyer's Insolvency.]
[Section 2-702| Seller's Remedies on Discovery of Buyer's Insolvency.|(1) Where thesellerdiscovers thebuyerto be insolvent he may refuse delivery except for cash including payment for allgoodstheretofore delivered under thecontract, and stop delivery under this Article (Section2-705).(2) Where thesellerdiscovers that thebuyerhas receivedgoodson credit while insolvent he may reclaim the goods upon demand made within ten days after thereceipt, but if misrepresentation of solvency has been made to the particular seller in writing within three months before delivery the ten day limitation does not apply. Except as provided in this subsection the seller may not base a right to reclaim goods on the buyer's fraudulent or innocent misrepresentation of solvency or of intent to pay.(3) Theseller'sright to reclaim under subsection (2) is subject to the rights of abuyerin ordinary course or othergood faithpurchaser under this Article (Section2-403). Successful reclamation ofgoodsexcludes all other remedies with respect to them.[Note:As amended in 1966.]Section 2-701. Remedies for Breach of Collateral contracts Not Impaired.UpSection 2-703. Seller's Remedies in General.]
[Section 2-703| Seller's Remedies in General.|Where thebuyerwrongfully rejects or revokes acceptance ofgoodsor fails to make a payment due on or before delivery or repudiates with respect to a part or the whole, then with respect to any goods directly affected and, if the breach is of the wholecontract(Section2-612), then also with respect to the whole undelivered balance, the aggrievedsellermay(a) withhold delivery of suchgoods;(b) stop delivery by any bailee as hereafter provided (Section2-705);(c) proceed under the next section respectinggoodsstill unidentified to thecontract;(d) resell and recover damages as hereafter provided (Section2-706);(e) recover damages for non-acceptance (Section2-708) or in a proper case the price (Section2-709);(f) cancel.Section 2-702. Seller's Remedies on Discovery of Buyer's Insolvency.UpSection 2-704. Seller's Right to Identify Goods to the Contract Notwithstanding Breach or to Salvage Unfinished Goods.]
[Section 2-704| Seller's Right to Identify Goods to the Contract Notwithstanding Breach or to Salvage Unfinished Goods.|(1) An aggrievedsellerunder the preceding section may(a) identify to thecontractconforminggoodsnot already identified if at the time he learned of the breach they are in his possession or control;(b) treat as the subject of resalegoodswhich have demonstrably been intended for the particularcontracteven though those goods are unfinished.(2) Where thegoodsare unfinished an aggrievedsellermay in the exercise of reasonable commercial judgment for the purposes of avoiding loss and of effective realization either complete the manufacture and wholly identify the goods to thecontractor cease manufacture and resell for scrap or salvage value or proceed in any other reasonable manner.Section 2-703. Seller's Remedies in General.UpSection 2-705. Seller's Stoppage of Delivery in Transit or Otherwise.]
[Section 2-705| Seller's Stoppage of Delivery in Transit or Otherwise.|(1) Thesellermay stop delivery ofgoodsin the possession of a carrier or other bailee when he discovers thebuyerto be insolvent (Section2-702) and may stop delivery of carload, truckload, planeload or larger shipments of express or freight when the buyer repudiates or fails to make a payment due before delivery or if for any other reason the seller has a right to withhold or reclaim the goods.(2) As against suchbuyerthesellermay stop delivery until(a)receiptof thegoodsby thebuyer; or(b) acknowledgment to thebuyerby any bailee of thegoodsexcept a carrier that the bailee holds the goods for the buyer; or(c) such acknowledgment to thebuyerby a carrier by reshipment or as warehouseman; or(d) negotiation to thebuyerof any negotiable document of title covering thegoods.(3)(a) To stop delivery thesellermust so notify as to enable the bailee by reasonable diligence to prevent delivery of thegoods.(b) After such notification the bailee must hold and deliver thegoodsaccording to the directions of thesellerbut the seller is liable to the bailee for any ensuing charges or damages.(c) If a negotiable document of title has been issued forgoodsthe bailee is not obliged to obey a notification to stop until surrender of the document.(d) A carrier who has issued a non-negotiable bill of lading is not obliged to obey a notification to stop received from a person other than the consignor.Section 2-704. Seller's Right to Identify Goods to the Contract Notwithstanding Breach or to Salvage Unfinished Goods.UpSection 2-706. Seller's Resale Including Contract for Resale.]
[Section 2-706| Seller's Resale Including Contract for Resale.|(1) Under the conditions stated in Section2-703onseller\'sremedies, the seller may resell thegoodsconcerned or the undelivered balance thereof. Where the resale is made ingood faithand in a commercially reasonable manner the seller may recover the difference between the resale price and thecontractprice together with any incidental damages allowed under the provisions of this Article (Section2-710), but less expenses saved in consequence of thebuyer\'sbreach.(2) Except as otherwise provided in subsection (3) or unless otherwise agreed resale may be at public or privatesaleincluding sale by way of one or morecontractsto sell or of identification to an existing contract of theseller. Sale may be as a unit or in parcels and at any time and place and on any terms but every aspect of the sale including the method, manner, time, place and terms must be commercially reasonable. The resale must be reasonably identified as referring to the broken contract, but it is not necessary that thegoodsbe in existence or that any or all of them have been identified to the contract before the breach.(3) Where the resale is at privatesalethesellermust give thebuyerreasonable notification of his intention to resell.(4) Where the resale is at publicsale(a) only identifiedgoodscan be sold except where there is a recognized market for a publicsaleof futures ingoodsof the kind; and(b) it must be made at a usual place or market for publicsaleif one is reasonably available and except in the case ofgoodswhich are perishable or threaten to decline in value speedily thesellermust give thebuyerreasonable notice of the time and place of the resale; and(c) if thegoodsare not to be within the view of those attending thesalethe notification of sale must state the place where thegoodsare located and provide for their reasonable inspection by prospective bidders; and(d) thesellermay buy.(5) A purchaser who buys ingood faithat a resale takes thegoodsfree of any rights of the originalbuyereven though thesellerfails to comply with one or more of the requirements of this section.(6) Theselleris not accountable to thebuyerfor any profit made on any resale. A person in the position of a seller (Section2-707) or a buyer who has rightfully rejected or justifiably revoked acceptance must account for any excess over the amount of his security interest, as hereinafter defined (subsection (3) of Section2-711).Section 2-705. Seller\'s Stoppage of Delivery in Transit or Otherwise.UpSection 2-707. "Person in the Position of a Seller".]
[Section 2-707| "Person in the Position of a Seller"|(1) A "person in the position of a seller" includes as against a principal an agent who has paid or become responsible for the price ofgoodson behalf of his principal or anyone who otherwise holds a security interest or other right in goods similar to that of aseller.(2) A person in the position of a seller may as provided in this Article withhold or stop delivery (Section2-705) and resell (Section2-706) and recover incidental damages (Section2-710).Section 2-706. Seller\'s Resale Including Contract for Resale.UpSection 2-708. Seller\'s Damages for Non-acceptance or Repudiation.]
[Section 2-708| Seller's Damages for Non-acceptance or Repudiation.|(1) Subject to subsection (2) and to the provisions of this Article with respect to proof of market price (Section2-723), the measure of damages for non-acceptance or repudiation by thebuyeris the difference between the market price at the time and place for tender and the unpaidcontractprice together with any incidental damages provided in this Article (Section2-710), but less expenses saved in consequence of the buyer\'s breach.(2) If the measure of damages provided in subsection (1) is inadequate to put thesellerin as good a position as performance would have done then the measure of damages is the profit (including reasonable overhead) which the seller would have made from full performance by thebuyer, together with any incidental damages provided in this Article (Section2-710), due allowance for costs reasonably incurred and due credit for payments or proceeds of resale.Section 2-707. "Person in the Position of a Seller".UpSection 2-709. Action for the Price.]
[Section 2-709| Action for the Price|(1) When thebuyerfails to pay the price as it becomes due thesellermay recover, together with any incidental damages under the next section, the price(a) ofgoodsaccepted or ofconforminggoodslost or damaged within a commercially reasonable time after risk of their loss has passed to thebuyer; and(b) ofgoodsidentified to thecontractif theselleris unable after reasonable effort to resell them at a reasonable price or the circumstances reasonably indicate that such effort will be unavailing.(2) Where thesellersues for the price he must hold for thebuyeranygoodswhich have been identified to thecontractand are still in his control except that if resale becomes possible he may resell them at any time prior to the collection of the judgment. The net proceeds of any such resale must be credited to the buyer and payment of the judgment entitles him to any goods not resold.(3) After thebuyerhas wrongfully rejected or revoked acceptance of thegoodsor has failed to make a payment due or has repudiated (Section2-610), asellerwho is held not entitled to the price under this section shall nevertheless be awarded damages for non-acceptance under the preceding section.Section 2-708. Seller's Damages for Non-acceptance or Repudiation.UpSection 2-710. Seller's Incidental Damages.]
[Section 2-710| Seller's Incidental Damages.|Incidental damages to an aggrievedsellerinclude any commercially reasonable charges, expenses or commissions incurred in stopping delivery, in the transportation, care and custody ofgoodsafter thebuyer'sbreach, in connection with return or resale of the goods or otherwise resulting from the breach.Section 2-709. Action for the Price.UpSection 2-711. Buyer's Remedies in General; Buyer's Security Interest in Rejected Goods.]
[Section 2-711| Buyer's Remedies in General; Buyer's Security Interest in Rejected Goods.|(1) Where thesellerfails to make delivery or repudiates or thebuyerrightfully rejects or justifiably revokes acceptance then with respect to anygoodsinvolved, and with respect to the whole if the breach goes to the wholecontract(Section2-612), the buyer may cancel and whether or not he has done so may in addition to recovering so much of the price as has been paid(a) "cover" and have damages under the next section as to all thegoodsaffected whether or not they have been identified to thecontract; or(b) recover damages for non-delivery as provided in this Article (Section2-713).(2) Where thesellerfails to deliver or repudiates thebuyermay also(a) if thegoodshave been identified recover them as provided in this Article (Section2-502); or(b) in a proper case obtain specific performance or replevy thegoodsas provided in this Article (Section2-716).(3) On rightful rejection or justifiable revocation of acceptance abuyerhas a security interest ingoodsin his possession or control for any payments made on their price and any expenses reasonably incurred in their inspection,receipt, transportation, care and custody and may hold such goods and resell them in like manner as an aggrievedseller(Section2-706).Section 2-710. Seller\'s Incidental Damages.UpSection 2-712. "Cover"; Buyer\'s Procurement of Substitute Goods.]
[Section 2-712| "Cover"; Buyer\'s Procurement of Substitute Goods|(1) After a breach within the preceding section thebuyermay "cover" by making ingood faithand without unreasonable delay any reasonable purchase of orcontractto purchasegoodsin substitution for those due from theseller.(2) Thebuyermay recover from theselleras damages the difference between the cost of cover and thecontractprice together with any incidental or consequential damages as hereinafter defined (Section2-715), but less expenses saved in consequence of the seller\'s breach.(3) Failure of thebuyerto effect cover within this section does not bar him from any other remedy.Section 2-711. Buyer\'s Remedies in General; Buyer\'s Security Interest in Rejected Goods.UpSection 2-713. Buyer\'s Damages for Non-delivery or Repudiation.]
[Section 2-713| Buyer's Damages for Non-delivery or Repudiation.|(1) Subject to the provisions of this Article with respect to proof of market price (Section2-723), the measure of damages for non-delivery or repudiation by theselleris the difference between the market price at the time when thebuyerlearned of the breach and thecontractprice together with any incidental and consequential damages provided in this Article (Section2-715), but less expenses saved in consequence of the seller\'s breach.(2)Market price is to be determined as of the place for tender or, in cases of rejection after arrival or revocation of acceptance, as of the place of arrival.Section 2-712. "Cover"; Buyer\'s Procurement of Substitute Goods.UpSection 2-714. Buyer\'s Damages for Breach in Regard to Accepted Goods.]
[Section 2-714| Buyer's Damages for Breach in Regard to Accepted Goods.|(1) Where thebuyerhas acceptedgoodsand given notification (subsection (3) of Section2-607) he may recover as damages for any non-conformity of tender the loss resulting in the ordinary course of events from theseller'sbreach as determined in any manner which is reasonable.(2) The measure of damages for breach of warranty is the difference at the time and place of acceptance between the value of thegoodsaccepted and the value they would have had if they had been as warranted, unless special circumstances show proximate damages of a different amount.(3)In a proper case any incidental and consequential damages under the next section may also be recovered.Section 2-713. Buyer's Damages for Non-delivery or Repudiation.UpSection 2-715. Buyer's Incidental and Consequential Damages.]
[Section 2-715| Buyer's Incidental and Consequential Damages.|(1) Incidental damages resulting from theseller'sbreach include expenses reasonably incurred in inspection,receipt, transportation and care and custody ofgoodsrightfully rejected, any commercially reasonable charges, expenses or commissions in connection with effecting cover and any other reasonable expense incident to the delay or other breach.(2) Consequential damages resulting from theseller'sbreach include(a) any loss resulting from general or particular requirements and needs of which thesellerat the time of contracting had reason to know and which could not reasonably be prevented by cover or otherwise; and(b) injury to person or property proximately resulting from any breach of warranty.Section 2-714. Buyer's Damages for Breach in Regard to Accepted Goods.UpSection 2-716. Buyer's Right to Specific Performance or Replevin.]
[Section 2-716| Buyer's Right to Specific Performance or Replevin.|(1) Specific performance may be decreed where thegoodsare unique or in other proper circumstances.(2)The decree for specific performance may include such terms and conditions as to payment of the price, damages, or other relief as the court may deem just.(3) Thebuyerhas a right of replevin forgoodsidentified to thecontractif after reasonable effort he is unable to effect cover for such goods or the circumstances reasonably indicate that such effort will be unavailing or if the goods have been shipped under reservation and satisfaction of the security interest in them has been made or tendered.Section 2-715. Buyer's Incidental and Consequential Damages.UpSection 2-717. Deduction of Damages From the Price.]
[Section 2-717| Deduction of Damages From the Price|Thebuyeron notifying thesellerof his intention to do so may deduct all or any part of the damages resulting from any breach of thecontractfrom any part of the price still due under the same contract.Section 2-716. Buyer's Right to Specific Performance or Replevin.UpSection 2-718. Liquidation or Limitation of Damages; Deposits.]
[Section 2-718| Liquidation or Limitation of Damages; Deposits|(1) Damages for breach by either party may be liquidated in theagreementbut only at an amount which is reasonable in the light of the anticipated or actual harm caused by the breach, the difficulties of proof of loss, and the inconvenience or nonfeasibility of otherwise obtaining an adequate remedy. A term fixing unreasonably large liquidated damages is void as a penalty.(2) Where thesellerjustifiably withholds delivery ofgoodsbecause of thebuyer'sbreach, the buyer is entitled to restitution of any amount by which the sum of his payments exceeds(a) the amount to which theselleris entitled by virtue of terms liquidating the seller's damages in accordance with subsection (1), or(b) in the absence of such terms, twenty per cent of the value of the total performance for which thebuyeris obligated under thecontractor $500, whichever is smaller.(3) Thebuyer'sright to restitution under subsection (2) is subject to offset to the extent that thesellerestablishes(a) a right to recover damages under the provisions of this Article other than subsection (1), and(b) the amount or value of any benefits received by thebuyerdirectly or indirectly by reason of thecontract.(4) Where asellerhas received payment ingoodstheir reasonable value or the proceeds of their resale shall be treated as payments for the purposes of subsection (2); but if the seller has notice of thebuyer'sbreach before reselling goods received in part performance, his resale is subject to the conditions laid down in this Article on resale by an aggrieved seller (Section2-706).Section 2-717. Deduction of Damages From the Price.UpSection 2-719. Contractual Modification or Limitation of Remedy.]
[Section 2-719| Contractual Modification or Limitation of Remedy|(1)Subject to the provisions of subsections (2) and (3) of this section and of the preceding section on liquidation and limitation of damages,(a) theagreementmay provide for remedies in addition to or in substitution for those provided in this Article and may limit or alter the measure of damages recoverable under this Article, as by limiting thebuyer\'sremedies to return of thegoodsand repayment of the price or to repair and replacement of non-conforming goods or parts; and(b) resort to a remedy as provided is optional unless the remedy is expressly agreed to be exclusive, in which case it is the sole remedy.(2)Where circumstances cause an exclusive or limited remedy to fail of its essential purpose, remedy may be had as provided in this Act.(3) Consequential damages may be limited or excluded unless the limitation or exclusion is unconscionable. Limitation of consequential damages for injury to the person in the case of consumergoodsis prima facie unconscionable but limitation of damages where the loss is commercial is not.Section 2-718. Liquidation or Limitation of Damages; Deposits.UpSection 2-720. Effect of "Cancellation" or "Rescission" on Claims for Antecedent Breach.]
[Section 2-720| Effect of "Cancellation" or "Rescission" on Claims for Antecedent Breach|Unless the contrary intention clearly appears, expressions of "cancellation" or "rescission" of thecontractor the like shall not be construed as a renunciation or discharge of any claim in damages for an antecedent breach.Section 2-719. Contractual Modification or Limitation of Remedy.UpSection 2-721. Remedies for Fraud.]
[Section 2-721| Remedies for Fraud|Remedies for material misrepresentation or fraud include all remedies available under this Article for non-fraudulent breach. Neither rescission or a claim for rescission of thecontract for salenor rejection or return of thegoodsshall bar or be deemed inconsistent with a claim for damages or other remedy.Section 2-720. Effect of "Cancellation" or "Rescission" on Claims for Antecedent Breach.UpSection 2-722. Who Can Sue Third Parties for Injury to Goods.]
[Section 2-722| Who Can Sue Third Parties for Injury to Goods|Where a third party so deals withgoodswhich have been identified to acontract for saleas to cause actionable injury to a party to thatcontract(a) a right of action against the third party is in either party to thecontract for salewho has title to or a security interest or a special property or an insurable interest in thegoods; and if the goods have been destroyed or converted a right of action is also in the party who either bore the risk of loss under thecontract for saleor has since the injury assumed that risk as against the other;(b) if at the time of the injury the party plaintiff did not bear the risk of loss as against the other party to thecontract for saleand there is no arrangement between them for disposition of the recovery, his suit or settlement is, subject to his own interest, as a fiduciary for the other party to thecontract;(c) either party may with the consent of the other sue for the benefit of whom it may concern.Section 2-721. Remedies for Fraud.UpSection 2-723. Proof of Market Price: Time and Place.]
[Section 2-723| Proof of Market Price: Time and Place|(1) If an action based on anticipatory repudiation comes to trial before the time for performance with respect to some or all of thegoods, any damages based on market price (Section2-708or Section2-713) shall be determined according to the price of such goods prevailing at the time when the aggrieved party learned of the repudiation.(2) If evidence of a price prevailing at the times or places described in this Article is not readily available the price prevailing within any reasonable time before or after the time described or at any other place which in commercial judgment or under usage of trade would serve as a reasonable substitute for the one described may be used, making any proper allowance for the cost of transporting thegoodsto or from such other place.(3)Evidence of a relevant price prevailing at a time or place other than the one described in this Article offered by one party is not admissible unless and until he has given the other party such notice as the court finds sufficient to prevent unfair surprise.Section 2-722. Who Can Sue Third Parties for Injury to Goods.UpSection 2-724. Admissibility of Market Quotations.]
[Section 2-724| Admissibility of Market Quotations|Whenever the prevailing price or value of anygoodsregularly bought and sold in any established commodity market is in issue, reports in official publications or trade journals or in newspapers or periodicals of general circulation published as the reports of such market shall be admissible in evidence. The circumstances of the preparation of such a report may be shown to affect its weight but not its admissibility.Section 2-723. Proof of Market Price: Time and Place.UpSection 2-725. Statute of Limitations in Contracts for Sale.]
[Section 2-725| Statute of Limitations in Contracts for Sale|(1) An action for breach of anycontract for salemust be commenced within four years after the cause of action has accrued. By the originalagreementthe parties may reduce the period of limitation to not less than one year but may not extend it.(2) A cause of action accrues when the breach occurs, regardless of the aggrieved party's lack of knowledge of the breach. A breach of warranty occurs when tender of delivery is made, except that where a warranty explicitly extends to future performance of thegoodsand discovery of the breach must await the time of such performance the cause of action accrues when the breach is or should have been discovered.(3) Where an action commenced within the time limited by subsection (1) is so terminated as to leave available a remedy by another action for the same breach such other action may be commenced after the expiration of the time limited and within six months after theterminationof the first action unless the termination resulted from voluntary discontinuance or from dismissal for failure or neglect to prosecute.(4) This section does not alter the law on tolling of the statute of limitations nor does it apply to causes of action which have accrued before this Act becomes effective.Section 2-724. Admissibility of Market Quotations.UpU.C.C. - ARTICLE 2A - LEASES (2002)]
